Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,59.4,,,,3.0,,0.5,0.3,0.8,5.1,4.9,1.7
A5,61.2,1.2,3.6,0.32,3.9,0.6,0.2,0.3,0.05,4.0,1.1,1.8
B3,61.8,0.64,3.0,0.24,5.2,0.17,1.0,0.9,1.1,1.4,4.7,1.4
B5,60.8,0.47,2.9,0.25,4.6,0.15,0.3,0.03,0.1,0.1,2.3,0.4
C3,51.3,0.4,3.0,0.13,4.2,0.11,0.3,0.05,0.4,0.9,5.9,1.8
C5,58.4,0.2,4.0,0.12,5.2,0.13,0.3,0.03,0.03,0.1,7.1,1.0
D3,59.7,0.2,4.2,0.18,5.3,0.13,0.3,0.1,0.05,1.0,11.0,0.03
D5,59.4,1.4,4.6,0.27,5.3,0.13,0.2,0.03,0.2,0.5,6.9,0.9
E3,52.3,0.81,4.0,0.88,4.6,0.01,0.8,0.7,1.5,2.4,1.4,5.6
E5,57.4,1.6,1.9,0.14,4.6,0.77,0.2,0.03,0.01,0.2,5.0,0.4
F3,53.3,1.2,1.9,0.10,4.7,1.0,0.2,0.2,0.03,1.3,8.0,1.3
F5,54.5,1.2,0.77,0.09,4.1,1.18,0.3,0.05,0.2,0.3,6.4,0.05
