Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,62.0,,,,3.1,,0.2,0.02,0.1,4.1,4.9,1.65
A5,61.2,0.6,5.0,0.07,3.9,0.32,0.1,0.05,0.2,0.8,2.1,0.1
B3,62.2,1.6,4.3,0.01,5.2,0.11,0.2,0.01,0.2,0.1,3.2,3.3
B5,61.0,1.3,5.0,0.02,4.6,0.06,0.2,0.01,0.2,0.9,2.1,0.3
C3,52.5,1.0,4.5,0.05,4.3,0.11,0.3,0.03,0.03,0.7,4.0,0.4
C5,55.4,0.2,4.0,0.16,4.9,0.11,0.2,0.05,0.08,0.3,2.7,0.3
D3,58.7,0.2,4.2,0.12,5.2,0.17,0.3,0.05,0.02,1.6,3.2,0.3
D5,59.4,3.5,4.0,0.17,5.3,0.07,0.3,0.04,0.2,0.7,3.7,1.1
E3,53.3,2.0,4.3,0.84,4.7,0.20,0.3,0.08,0.4,1.8,4.8,0.8
E5,46.8,1.6,5.0,0.08,3.7,0.37,0.3,0.05,0.05,0.0,5.5,0.04
F3,52.8,1.1,2.3,0.06,4.7,0.37,0.4,0.01,0.05,0.9,4.9,0.5
F5,50.0,2.6,1.9,0.05,3.8,0.73,0.24,0.01,0.2,0.02,3.2,0.1
