Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,,61.5,,3.5,,,0.1,0.05,0.03,1.0,1.7,0.9
A5,2.0,62.4,4.3,3.6,0.11,0.20,0.01,0.03,0.02,0.2,0.7,0.4
B3,1.12,62.4,4.0,4.8,0.29,0.49,0.07,0.08,0.03,0.6,1.3,2.2
B5,1.28,62.7,5.8,4.8,0.03,0.11,0.04,0.2,0.08,1.9,2.0,1.4
C3,0.81,56.4,3.4,4.7,0.22,0.32,0.08,0.5,0.5,5.4,0.9,0.9
C5,0.40,58.2,4.6,5.2,0.17,0.13,0.08,0.1,0.09,2.4,0.6,1.2
D3,0.17,49.8,4.6,4.4,0.17,0.19,0.08,0.2,0.02,1.6,1.8,1.9
D5,0.20,60.2,5.7,5.4,0.11,0.37,0.2,0.3,0.01,1.7,1.3,1.3
E3,4.4,63.4,4.6,5.3,0.71,0.06,1.1,1.2,1.0,2.1,1.5,1.4
E5,0.21,53.4,4.5,4.2,0.07,0.86,0.02,0.2,0.2,2.4,1.4,1.2
F3,0.40,53.5,3.8,4.4,0.06,0.5,0.1,0.2,0.05,1.1,2.3,1.4
F5,0.40,49.7,1.0,3.8,0.04,0.58,0.1,0.6,0.5,1.4,2.0,2.1
