Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,,,55.9,,,,0.01,0.0,0.08,0.5,2.1,1.0
A5,3.9,1.6,59.9,0.35,0.33,0.5,0.08,0.02,0.02,0.02,2.8,0.6
B3,1.0,1.7,44.9,0.22,0.3,0.27,0.05,0.01,0.1,0.01,0.7,0.5
B5,0.41,1.3,55.5,0.12,0.14,0.15,0.05,0.01,0.05,0.5,2.6,0.01
C3,0.33,4.0,57.3,0.13,1.0,0.45,0.2,0.2,0.08,1.3,1.0,0.8
C5,2.6,0.8,62.7,0.1,0.12,0.1,0.03,0.1,0.8,0.01,1.7,0.3
D3,1.8,1.2,60.4,0.31,0.37,0.06,0.05,0.02,0.02,1.3,1.3,0.3
D5,1.3,1.2,53.4,0.06,1.8,0.3,0.02,0.1,0.01,0.4,0.7,0.6
E3,0.2,6.2,50.4,0.22,0.2,0.52,0.7,0.8,0.5,1.7,0.6,3.0
E5,3.3,6.0,51.2,0.67,0.09,0.3,0.01,0.05,0.1,0.5,2.85,0.2
F3,1.2,0.12,48.8,0.49,0.42,0.42,0.08,0.03,0.05,0.4,2.64,0.02
F5,1.2,4.4,48.9,0.67,0.4,0.0.65,0.05,0.0,0.2,0.2,1.1,0.2
