Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A5,0.20,0.8,49.0,0.01,0.05,0.04,0.1,0.01,0.05,0.6,3.2,0.1
B3,0.02,1.6,60.1,0.05,0.14,0.06,0.05,0.01,0.04,0.9,1.0,0.5
B5,0.20,1.3,48.1,0.04,0.05,0.04,0.3,0.01,0.01,0.6,4.7,1.5
C3,0.33,0.4,50.2,0.22,0.20,0.04,0.4,0.3,0.3,2.9,2.2,2.8
C5,0.33,0.8,48.9,0.02,0.17,0.04,0.03,0.05,0.2,1.3,1.8,0.1
D3,0.49,0.8,56.3,0.06,0.19,0.02,0.2,0.1,0.1,0.1,7.0,0.4
D5,1.15,1.0,61.3,0.09,0.22,0.02,0.2,0.1,0.1,0.4,4.3,1.4
E3,0.50,1.6,59.6,0.07,0.09,0.04,0.2,0.1,0.02,1.7,2.0,0.2
E5,0.83,1.01,48.3,0.03,0.19,0.04,0.1,0.01,0.5,0.1,5.2,0.3
F3,0.49,1.01,59.6,0.03,0.22,0.02,0.1,0.1,0.2,0.2,4.0,0.2
F5,0.33,1.01,61.2,0.06,0.33,0.02,0.05,0.05,0.2,0.4,4.5,0.3
