Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,,,,2.30,,,0.1,0.1,0.05,3.0,2.0,1.7
A5,1.6,0.16,1.5,2.26,0.06,0.09,0.05,0.1,0.08,2.3,0.3,0.9
B3,0.41,1.3,1.5,2.94,0.22,0.02,0.05,0.1,0.03,3.9,0.1,0.3
B5,1.22,0.16,1.8,2.81,0.03,0.04,0.03,0.08,0.02,3.8,0.4,0.9
C3,0.33,1.01,3.5,3.50,0.11,0.06,0.3,0.4,0.6,6.4,3.9,4.1
C5,0.17,1.6,3.0,3.80,0.1,0.13,0.1,0.05,0.3,7.3,0.7,2.7
D3,0.20,0.61,1.5,3.67,0.21,0.07,0.05,0.13,0.003,6.2,0.2,5.2
D5,0.17,0.40,1.5,3.50,0.07,0.17,0.0,0.03,0.13,4.3,1.3,1.4
E3,1.4,1.2,1.9,3.75,0.06,0.37,0.3,0.02,0.08,4.7,3.1,3.7
E5,0.66,0.40,2.3,3.15,0.05,0.13,0.13,0.13,0.18,4.4,0.8,2.8
F3,0.49,0.81,1.9,3.27,0.32,0.04,0.13,0.13,0.25,4.6,0.9,1.2
F5,0.50,1.01,2.3,3.34,0.39,0.13,0.05,0.08,0.08,5.5,0.5,3.9
