Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,,,,,2.37,,0.1,0.05,0.05,0.37,4.1,0.04
A5,0.4,0.32,2.2,0.01,2.55,0.06,0.02,0.1,0.01,1.2,4.4,0.02
B3,1.2,0.80,0.73,0.09,2.81,0.13,0.2,0.3,0.01,3.1,4.3,3.2
B5,1.4,0.64,1.8,0.06,2.76,0.13,0.1,0.05,0.01,1.3,5.4,0.5
C3,1.8,1.2,1.5,0.05,2.43,0.006,0.08,0.08,0.5,1.5,5.1,0.5
C5,0.80,1.4,1.2,0.14,3.12,0.13,0.1,0.3,0.1,1.1,4.3,0.9
D3,0.17,0.4,2.7,0.26,3.54,0.04,0.1,0.1,0.2,3.1,3.2,0.1
D5,0.02,1.0,1.5,0.07,3.3,0.09,0.3,0.02,0.7,1.9,3.8,0.4
E3,0.49,0.6,1.9,0.02,3.17,0.20,0.5,0.2,0.6,1.5,6.7,0.4
E5,0.83,0.40,1.9,0.07,3.20,0.06,0.1,0.03,0.1,0.4,6.9,0.5
F3,0.66,0.20,2.3,0.22,3.24,0.13,0.5,0.05,0.4,0.1,8.4,0.7
F5,0.83,0.02,2.3,0.25,3.16,0.32,0.2,0.01,0.2,0.3,6.4,0.1
