Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,,,,,2.23,,0.3,0.01,0.2,3.5,6.9,0.9
A5,0.61,0.96,1.4,0.11,2.41,0.002,0.2,0.05,0.01,2.5,5.0,0.3
B3,0.20,0.96,1.8,0.19,3.05,0.04,0.2,0.04,0.4,0.3,5.6,0.9
B5,0.61,1.4,0.7,0.02,2.85,0.09,0.08,0.05,0.02,0.9,6.8,0.9
C3,1.3,1.2,1.9,0.3,3.10,0.06,0.1,0.05,0.5,1.5,5.1,0.5
C5,0.66,0.2,2.3,0.07,3.70,0.17,0.2,0.03,0.4,1.1,4.3,1.0
D3,0.66,1.2,2.3,0.10,3.18,0.11,0.05,0.06,0.1,1.9,1.2,0.5
D5,0.66,1.6,3.1,0.21,2.9,0.09,0.1,0.01,0.3,0.2,7.7,0.1
E3,0.33,1.0,1.5,0.04,3.64,0.25,0.03,0.01,0.2,0.8,8.0,1.2
E5,0.50,1.6,1.9,0.08,3.30,0.04,0.05,0.01,0.1,1.8,6.1,0.6
F3,0.83,1.6,2.0,0.4,3.20,0.22,0.3,0.2,0.4,2.2,8.1,0.5
F5,0.99,0.61,3.5,0.24,3.40,0.09,0.2,0.3,0.4,0.5,4.5,0.9
