Specimen,F1,F2,F3,M1,M2,M3,X1,X2,X3,A1,A2,A3
A3,,,,,,3.30,0.01,0.2,0.05,1.2,4.0,3.7
A5,1.8,1.0,1.0,0.2,0.2,3.67,0.1,0.3,0.1,1.4,1.0,1.3
B3,2.24,0.81,0.37,0.36,0.01,3.35,0.1,0.1,0.3,0.4,0.6,4.8
B5,1.5,0.8,0.73,0.2,0.05,3.43,0.01,0.1,0.05,1.6,1.5,2.4
C3,1.0,2.1,1.5,1.1,0.02,3.23,0.1,0.05,0.4,5.1,0.2,7.3
C5,0.40,0.33,1.1,0.4,0.02,3.25,0.2,0.05,0.3,3.9,0.4,5.2
D3,0.6,0.66,0.77,0.6,0.15,3.33,0.1,0.01,0.3,3.4,3.2,3.4
D5,0.33,0.6,0.38,0.6,0.13,3.42,0.4,0.5,0.5,2.4,2.1,1.0
E3,0.40,1.3,0.77,0.1,0.37,2.25,0.07,0.1,0.2,0.8,0.2,7.1
E5,0.05,0.33,1.2,0.61,0.05,2.80,0.02,0.1,0.04,2.5,0.7,4.8
F3,0.40,0.83,1.2,0.08,0.07,2.66,0.13,0.05,0.02,2.8,0.3,4.5
F5,0.20,1.16,1.5,0.31,0.07,2.49,0.01,0.05,0.03,0.9,0.5,3.9
